sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98,PC99,PC100,PC101
SH0001,109265,-0.08457654107647705,0.20215068194790126,-0.12881116939705547,0.28823062388721776,0.029039343280323655,0.047334894730799264,-0.08662197042647235,-0.011225203613715647,0.22359598469569267,-0.04026070988748176,-0.08995188871090141,0.05895145464519537,-0.025770514109428894,-0.0007342756891203754,-0.02182949690562909,0.00394990789602304,-0.13795791467835833,-0.033214643997161515,-0.02742570163767635,0.060557452130629144,0.007878135948774331,0.002844424245355889,0.006161208784572564,-0.03225705411319027,0.004017761153173724,0.026648590786359578,0.013462592425301075,-0.004185103188091609,0.009799353339017224,0.07407818486104316,-0.009113234904467287,0.03643575634379241,0.016696548004040912,0.045355865458481366,-0.00476437597659099,-0.01859316486791896,-0.012450941406462348,-0.007864564040942677,0.03375910170764766,-0.01225885709318296,0.0020668698298005593,-7.974437194128566e-05,0.01982853369923455,0.007701534608316095,0.022505610682215883,-0.0019245866442868373,-0.0076431138210768445,-0.0050901970948542645,-0.0050161797592544275,0.007248308636386382,-0.004118649006918325,-0.01607490561379897,0.006923347659789837,-0.01323760516453634,-0.003869418725303605,0.026542005041846676,0.0068534741275017835,-0.0038518545439634633,0.0102839407281529,-0.0028314021077273273,-0.004245425549397167,0.010511488256668878,0.005560740334885255,-0.000770060768337138,-0.01871002714708265,0.015330432895486376,0.00318766163568275,-0.008442525231216415,-0.0034874729891858974,-0.000823532273441431,0.0027844141289383832,-0.0007413476430617341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0002,109266,0.004622419487195471,0.0011268084270795796,-0.4664036206697986,-0.3611150188801527,-0.06512351798593122,-0.006060724762088837,-0.00903928344831892,-0.0018130788824841089,-0.016098267285124264,-0.021435564155274634,-0.013767930563180224,0.03464795603988027,0.052594844218990675,-0.010125502983857199,0.0044663076777621,0.004985381291514013,-0.011139935992147285,-0.027888606590673878,0.009586028526399922,0.004767191467161575,-0.011417176927224037,0.013816125738383396,-0.03380615572366683,-0.008570307182732436,-0.011584364963276172,0.006870947430163564,-0.0007259404942015535,0.01988383662537532,0.023614649261115065,0.009240841795948357,-0.02238800659907168,0.01860402906542428,-0.0012993188096082026,-0.0014445806921881434,-0.002977829234741023,-0.014441203298097264,0.0174984737326607,-0.01751651021818633,0.03599860870545932,-0.02179707797391589,-0.021796725747075384,-0.013562640204725102,0.028686731053660625,0.029708623815258815,-0.008516897396160805,0.005512341801441018,-0.022925966913195865,-0.007058000399904577,0.024143427285295685,-0.022991487632891074,0.009942620328180933,-0.00245932122994095,-0.062030169958050725,-0.011629190876440083,-0.0028483955126269696,0.00528508291359415,0.005044322590201032,0.009235683786107429,0.012420513753725935,0.010870611915677423,0.006661394265112036,-0.005493886451081918,-0.0007235322956641346,0.0036929716144211435,0.0003267745297825228,-0.006972555399802751,-0.00014780108517485843,0.005359841479384017,-0.0013526288218108056,0.003174789729469214,0.0008238248174426069,-0.00011958818682861579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0004,109268,-0.16239704152426987,0.11704007193736603,-0.1650602254495785,0.25216963658102026,0.05697985594391618,-0.04342622914912351,0.27870596518907903,-0.034130720751352386,-0.13324688350778427,0.007350319132780287,0.012105315213952543,-0.04395774544979262,-0.00571501575600474,-0.00907445354742751,0.007639762201037144,0.014154767636168955,-0.03274698508966549,0.06328273892984956,0.017433000241915058,-0.051479707391272056,-0.12607857237173206,-0.2072745419008107,0.008260074740611276,-0.061013215460053394,-0.04376633129990853,0.018463369102026547,0.022037480703686448,-0.06669032786393296,0.06597595759054593,-0.05059868344562428,0.023599884571749292,0.015156207491482852,0.008682509238882478,0.017505372774219357,0.0024649602488627373,-0.0010911594823195402,-0.00217569983515209,0.03358518309924676,0.02196991736677134,-0.004442253273378887,-0.010671068963053311,0.009619479198172182,0.033411792991517045,0.013867849713129564,-0.008971693231121758,-0.024950865663097534,0.005934894244840779,-0.0013318724824287447,-0.016275606509471508,0.007890744523170986,0.00024239135168808849,-0.007152799045659377,0.005348520369010724,-0.0004194756732638557,0.006862530298600758,0.0038262897521205166,-0.0015093182555364808,-0.016233018357978888,0.009561877818264865,-0.0006061195547063372,-0.01525341349632161,-0.005888652380994454,0.010982884227746258,0.004863706504121811,0.0039027241546904746,-0.00326702093073606,-0.006529146661041296,0.0024183118653845707,-0.002578495034426566,-0.0002418910465921238,0.00037750812830977614,0.0001626463295906304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0006,109270,-0.020133922310920177,0.017692452909031344,-0.4709955740838414,-0.3169330792097239,-0.06430627410276527,-0.016285061005071905,-0.003166418677167753,0.001029245249226958,-0.03015415902589763,-0.0006045414245433372,-0.015637840899215813,0.027070972850722415,0.08949518565443516,-0.017941772130314063,0.008111523823199698,0.007903930501001995,-0.01560475348356347,-0.017856538634496297,0.007415315465683112,-0.003296365884383766,-0.020561800580987912,0.005930966487844967,-0.06318075435991075,-0.019728218426650002,-0.021517625834528088,0.02986338399740799,0.001792460968922057,0.03195235552469169,0.047016208749419655,-0.028839136490779738,-0.011377767261302976,0.013460959430195226,0.008255255845233737,0.017119507590982512,-0.014567499380631366,0.04497203768577649,0.01664476027628362,-0.022938295945471452,-0.03639517878923574,0.0426231618658987,0.006243914584128242,0.017976896956971723,0.002366159709470071,0.005896494872117536,0.04134800568215096,0.029518039275948194,0.013486925399500504,0.009804289636865323,0.023121280867604045,-0.0002840926498702758,-0.0020022803080620593,-0.015465247567042217,0.019835538342556604,-0.011445300385979284,-0.007801675564003318,-0.013921740156547603,0.004974938155095346,-0.01497689190253571,-0.005742483009965053,-0.0005958260424370129,-0.006041147621959549,-0.006897929299408491,0.001735724506859795,0.005489343124140433,0.006729234299503313,-0.0010629708172752129,-0.0026779349074561457,0.0017740036494486471,-0.0010243459554283754,2.390154759169546e-05,0.0019778295902564964,-0.0009078925107394754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0007,109271,-0.003122792658460045,-0.02073245803073828,-0.4241208896616476,-0.38259082966141233,-0.04643811376183066,-0.01822717224810024,0.011077897734789125,-0.005372342654190793,-0.0373234075509583,-0.041009206985852996,-0.026018088058676152,0.09601695466678313,0.1477380139246333,-0.010077601851797648,0.012562516237197825,0.0007136848807124776,-0.03177926539466219,-0.04610131596484064,0.018748192396903132,-0.002776140983452511,-0.034457782121799216,-0.013626895448723936,-0.053525154666947954,-0.036750996514057804,0.03656421508198384,0.001819981478501973,-0.002870125520093909,0.052908970933477975,-0.005792025999170925,-0.03211002505543745,-0.002371205972860688,-0.005956923899524557,0.015419624817203981,0.02699490965262522,-0.046215624304280924,-0.008591430099412514,-0.007700647142146062,0.04468640052538586,-0.033080865978981605,0.022877307831903056,0.049507372328306765,0.02604064285410692,-0.01794280176148436,0.008450090645998694,0.03006807636888789,-0.015880185337778505,0.017910482340311725,-0.01806733852964383,-0.013813855366135792,-0.005048741985651616,0.01243729811112086,0.025424155663460436,-0.010427580837964485,0.012160682266294763,0.007035815666118755,0.005874787790792754,-0.0029662739818880706,-0.00047469430286577576,0.007367751649889264,-8.785826786832154e-05,-0.004719559810840034,-0.003963565430374606,-0.0037787555250196605,-0.0004993648617361006,-0.006392322312067862,-0.00038355053430745687,-0.00043403868541590907,-0.0014552431841951693,0.0016438472151749917,-0.0017404270138886159,0.0010394795292687534,-5.8424617150140835e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0008,109272,0.0027815536384726983,0.011846349395222715,-0.46851952556259613,-0.34142956750982634,-0.06204751544671549,-0.005382501982537963,-0.007912329644852459,-0.002335236149910183,-0.02246818289515708,-0.016159402536053382,-0.01540910697404674,0.02714436524461727,0.05723581531659628,-0.018067340681560788,-0.011564971708903443,0.004843653123333268,-0.010742410058128902,-0.024594880741419745,0.006046314664249701,0.00028839222702703915,-0.008643095155409503,0.026420716736186595,-0.03976875955524624,-0.015694625874579152,-0.019602542366446107,0.014186309424682282,0.001314983356587942,0.0051720794760029,0.023357156003779946,0.02238436155354369,-0.011115028058153259,0.027902971182441467,0.0053827423274004915,0.01682525434446037,0.0103519409383127,0.04168208671778988,0.017070889666409586,-0.001456284279797855,0.04321388020341076,-0.018307871358464504,0.0030678537133372176,-0.03028754715691857,-0.006706273315569063,-0.014461299880573946,-0.023560963337422376,9.077320090672959e-05,-0.005847589693193645,-0.0030686538974937293,-0.029639868409964028,0.03136837573332044,0.005296654247866192,-0.00468560958108716,0.020299746582312945,-0.002654846040120028,0.012986438082188672,0.001947670881657739,0.013226575901260394,0.031179425349984316,-0.03686344968875628,-0.0013839997676056968,-0.01127402401975057,0.001158295155350061,0.0015400848751287648,-0.004545465757621849,0.000720758202090883,0.006129430341966603,-0.0068579938387923,0.004123793455353921,-0.00028058658911109746,-0.001227987684835379,-0.002731645142443051,-0.0006670156494472784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0009,109273,0.03179615169527124,-0.052649906846699686,-0.4314208542393619,-0.4216898570098004,-0.044099162051124983,0.0039036825102379317,0.0021200469934462667,-0.010676631135988567,0.01352132531734221,-0.07245291217929554,-0.026693020542600077,0.0032417006961252205,-0.019321815014691317,0.026631342834306897,0.014823530701148762,-0.08383513946993497,0.02772238904400572,-0.002401212013987756,0.007524471771510504,-0.0017643134778030651,0.02883415547381793,-0.0539901490316993,0.045102544602777794,0.07421763681979278,0.013676654632248897,-0.012741980277365297,-0.015041385028817347,-0.005383161702855334,-0.04293125242821153,-0.032726812563624856,0.03260962720264511,-0.04980520275081917,-0.011816127734279388,-0.027036997276035372,0.004067075200414873,-0.08984445693826025,0.0149239716435072,-0.09728571530808276,0.04203754287312703,-0.004346666068292472,0.01288970758185731,0.027544063661801794,0.041496540387286084,0.02716341966975514,0.0036257684433031994,0.01709525053034974,0.003269380540570312,0.0022180507689711403,-0.0147641334652508,0.0072853624853264605,-0.005221863347443921,-0.012297929663468236,0.017449789481196784,-0.0012400994200788761,-0.0025618309356522646,-0.00449457452649846,-0.003953316205018902,-0.006373322681592072,-0.004526095726904015,-0.0009281031474170697,-0.004368071702262985,0.002401051284791453,-0.003004288181704871,0.0014364182647862752,0.0012286053986414968,0.0008607423519111848,0.004903290048228679,-0.0008174553628266555,-0.0024185499362118167,0.0009807792024481292,-0.0003136339224062097,0.0007488231164868281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0010,109274,0.5243956823019614,0.20849725384192277,0.15750214669760668,-0.016515561779136965,-0.06827636756930805,-0.04160185561764029,0.009420742706928456,-0.007872178666085297,-0.03164605066110787,-0.005532539635564925,-0.00287939577148369,0.03911404615463911,0.009475082059939926,-0.020279488691169443,0.013884708337729345,0.021011726416126073,0.021115220053843163,-0.047088843352078115,0.02150070382649821,0.0049349500641309154,-0.014638664563613948,0.002038861501639293,0.05905636630682683,0.0018128872332912062,-0.018898716277557986,-0.003963747003992593,0.013996777845986115,-0.015114036838750695,0.004036515360446708,0.000425907230014876,-0.011911673386178047,-0.006305824705153216,-0.004276953693495372,-0.01728301024362378,-0.012393126214285732,-0.022869592845453215,-0.013472246789627829,0.010697785815580282,-0.016674297624483834,-0.00015092885239648772,-0.005568902116841976,0.01172029667287911,0.002363265762578737,-0.003167951854282571,0.004711027879310836,0.003280986956310494,0.0019215064387771616,-0.014316306589180275,0.01281324693284167,0.01724930331171834,-0.00019428994792029174,-0.007344004619631095,0.005520973640868311,0.01028539694415593,-0.008714995763302737,-0.01314766648333264,0.0018122850642049155,0.012277079988093492,-0.00762497856226439,-0.004030645708041519,0.0006161680796632228,-0.003979940411252322,0.0016422525226966584,-0.006390524097678113,0.0009845420113457207,0.0029408355310086335,0.011623117683115521,0.008872856899764197,-0.007231714934528723,0.009526310358069227,0.008145810351699027,0.001969550624960908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0011,109275,0.21178032993573068,-0.04923893690239161,0.046777139670983355,-0.03771286327433357,0.32760627719511165,0.5276313114013969,-0.008807410243384549,-0.029937199136066912,-0.014099580961518598,-0.006571795562354851,0.011104718022592948,-0.02408211926856806,0.010336908348989428,-0.030429266569933656,0.02230346426525489,0.018627075746759505,-0.15712538015329883,-0.0629195977677458,-0.0018016554227735899,-0.1845614720055641,0.0414225547936717,0.017352459599062908,0.01215565140578419,0.06712417807075913,-0.02769571538976682,-0.027381976021968037,0.003311503298027888,-0.02591417914404754,0.000757110041625883,-0.004606679624063124,0.004589135456638451,-0.006680766283596093,0.00253998628219855,-0.016718054636177412,0.01575014534687624,-0.009550073823515137,0.007272535318196713,0.005423032996730914,-0.01488967266109154,0.012309480133786773,-0.0014248213288008858,-0.0006387711902785683,-0.016824285602511393,0.0039721473683272,0.011027487227865862,-0.017244822349533215,-0.01610685294378467,-0.000745902885918016,0.013694447020889105,0.016837035946908767,0.005509443606480594,-0.004204267849343879,-0.00722320682165257,0.0025410592421299784,0.0007938391529198472,-0.001017653434966345,0.0019314454104505372,0.0003285423442180255,0.006044719051971706,-0.0029903342695127583,-0.007200782346682078,0.0015329110118753719,-0.0004036220109132899,-0.00835471742556953,-0.0021724334227499914,0.0007785160323484243,-0.0054036128827583295,-0.0031283930207454346,-0.004605441760381192,-0.006071577770950933,0.0012907880297712638,0.0006252447542216743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0012,109276,0.1442704583819282,-0.6460083800367132,0.0007654867437930756,0.1423016089968496,-0.08787091975445463,-0.019870946210055213,-0.009774130817974343,-0.0062619909959885185,0.01153641245855347,-0.006708348517050181,-0.0032579309725513815,-0.011001985241891735,0.0008243869311826271,-0.008708547788309916,0.002222967533972819,0.01962945759294871,0.015725175360571494,-0.0339766720749048,-0.09566089146671453,-0.012083728603207411,-0.015069052266510728,-0.01781049899617661,-0.0009408833782430895,0.010551327217004445,-0.0017429079658251364,-0.005851920889069654,0.05123983291057224,0.028698469141695312,-0.007257165136492462,-0.008638785299779638,0.021651580563817614,0.03748495402715928,0.020681968284445226,-0.024564816198777987,-0.01882717827309434,0.010800400714668316,-0.013814300349272886,-0.011534277768629139,0.002067645858521827,0.006886306101456651,0.011209619986949327,-0.027514013759076018,0.02259971419936256,-0.013808637065600234,-0.005075109347821833,0.00503396244802846,-0.013688048071133701,-0.0021552267871246065,-0.007193140313451576,-0.010681484260204516,0.0074616895227978325,-0.013805329054799373,-0.001274401771142617,-0.001973241911326243,-0.01949134165344641,-0.004897540862448187,-0.027457634274627885,0.01909619346797947,0.012626298375922973,-0.03285403587583427,-0.015656517417887265,0.0005468020290016262,-0.014569200422285038,0.00780200127414104,0.004406056381208547,-0.0024208111078575017,-0.00048512493121014504,-0.0029315202533241277,-0.0033754295398084194,0.006340103236428628,-0.002168829288863392,-0.0010837124538806352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
