sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
SH0078,109343,-0.007146836736909152,0.0019268625228995712,0.00023538581814677183,-0.00120448574655634,0.0005650946474972325,-0.00019231228893789876,-0.0002029915727646293,0.0008911584083129844,0.00028378110674166367,0.0008498915043107619,0.0002578049533624863,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0079,109344,-0.005048279950779139,-0.006218201970140655,0.005961065527452428,0.0035478535031096643,-0.0019010954165148996,-0.0008935598473011435,-0.0028336378118346125,-0.0003148759480518226,0.0007033816796115967,-8.843571538648654e-05,-3.74873983442316e-05,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0080,109345,-0.011439180842284694,-0.0062372600747676085,0.003355895514321704,-0.00023165247504139202,0.0017276656684006063,0.005395961179770126,0.0008157437995683596,-0.00023333865125108608,-0.00018229153792400407,3.9948478842109516e-05,6.215768970299233e-05,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0081,109346,-0.006555525089995247,0.001496757421937027,0.00041504418190222987,-0.0008169820420225418,0.0005154825416719318,0.0002608800380582819,0.00018919105952065155,0.0007440571022120742,0.00018362889150799348,-0.00016508632714686187,-0.0002310373301703642,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0082,109347,-0.007802489741492063,0.0024250128322769265,-0.0004249471527528647,-0.001410905287967314,-0.00012745013849347337,-0.0006557768858446092,-0.0001632115718664884,-0.0012043109713257112,6.383737492555613e-05,-1.4912767242011733e-05,-9.919693120817224e-05,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0083,109348,-0.005790533471855346,0.0006729077334438501,-0.0006911061009386916,-0.0005745149478763458,-0.0015549225494294193,0.0012941137075561575,-0.0004980281921258394,-0.0009660367966428602,0.0007046932571262179,0.00011075149865372215,-0.00016944785969617485,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0084,109349,-0.007919890790257006,-0.004821453308674882,0.0033950529190635154,0.00027197217466455587,0.0019305408040199284,-0.0020843145199269395,0.0031057494962196705,0.00041914367389158747,0.000975402836646007,-0.0002493541997899275,-0.0001272891067704851,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0085,109350,-0.008276733566188474,0.002465808654489607,-0.0015577486879414198,-0.0012950566199520664,-0.000907803828790254,-0.0006608870732358527,-0.0007733454493857685,0.0011199059078064759,-2.821406972983686e-06,-0.00017216135707218337,0.00029710342754588997,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0087,109352,-0.007189007458746283,0.0021858149954470845,-0.0010173940593639925,0.0024340476261380225,-0.0017304488247129358,0.0013641282725524446,0.00036454582487128567,0.00103401098446437,-0.0002475557252468487,0.00048358744524984763,-0.00047553891247078216,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0089,109354,-0.007664710875041702,0.002576668149232607,-0.0006996572345816542,0.00017564921530757163,0.0013907382505712938,-0.0004853254012754738,-0.0006351745886024176,0.00026772439713622554,0.00024241503496876988,0.00035443343213379904,-9.982679648218112e-05,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0090,109355,-0.007395489546255936,0.002194857726839842,-0.0007836431881660552,0.0004258526397648832,0.0006768562674663142,-7.778700606220779e-05,-0.0001229438247110393,0.001115657614506912,7.35008222991929e-05,-0.0005465393062777312,-0.00022105915145890739,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0091,109356,-0.004621736165594711,0.009247249663549895,0.0013761843454910285,-0.0006699387830041466,0.004427825746890554,-0.000184108592391774,-0.0014057834952138487,6.224579102559791e-05,0.00015904827634552582,-0.00016418672031799465,-4.962817223943902e-05,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0092,109357,-0.0074228114884588945,0.002360355886084996,-0.0006463533894366369,0.00032732737727221974,0.0004389486222464699,-0.00048010943130270746,0.00018811549720569338,-0.000763453144263142,1.2909883916029422e-05,-0.00015206498651536708,0.0003397617452251247,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0093,109358,-0.006612836935763348,0.0015644820013846464,0.00044441067831502905,-0.0007176508391004671,-7.984314562544817e-05,0.0001755108238347738,0.0007646850764658742,-0.00025681935452418684,-8.760189585932824e-05,6.876620507032758e-06,0.00042197729705797043,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0094,109359,-0.0061642426417828945,-0.0062499764743806285,0.003935176992608418,0.000965289237721779,0.0005443553116300168,-0.0021492480556161184,-0.00012964720733501823,0.00041641096110897694,-0.0015782030062709983,0.00014885959631398828,8.755334114560716e-05,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0095,109360,-0.007154352073679925,0.0015344350999515796,-0.0006206305074968581,-0.001086138522859463,-0.0008326211472277095,6.836998102788757e-05,-5.784562076914577e-06,-0.0005831097711568371,-0.0008716338090941064,-0.00042700359463956243,-0.0003722156389215208,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0096,109361,-0.006698521116515595,0.0015398140448183014,-0.0010134736736515826,0.0010373816214106098,-0.00017676287819897007,0.0013253259711444561,-0.0004076520043695277,0.0002949272537695574,-0.0002849716531809906,-0.0004983127407162759,0.00021344930388850355,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0097,109362,-0.006930979003015704,0.0023703548316728372,0.0006723879700180893,-0.00015489990434118563,-0.0003124068047587543,-0.000978153165661251,0.0008426909421640278,-0.0009570739907817114,-0.00011643017955631019,0.0001275451891594554,0.0003382069097257165,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0098,109363,-0.007349439241026344,0.002313104537675006,0.00015631329367978147,-0.0009710470558924487,-0.0007163853435358316,-0.0010228550190058234,0.0005740733660265195,-0.0011309240476998857,-0.00020617680022313754,0.0002503199253422837,-0.0004403981771996149,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0100,109364,-0.007364583369875702,-0.009317333073834654,-0.0022429293110381317,-0.007537615873973384,-0.0017229882778324365,-0.0006229028123777801,-0.0006364688274306269,0.0003682073158620576,0.00013788954950927934,-1.3781339942797293e-05,-5.7873387822817114e-05,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
