sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
D5-D4-D9b-D4u,74375,-0.05380380717046725,0.023496969882088145,-0.0017788779512870805,0.013717883075244129,0.0005540631050122189,-4.855827936840821e-05,-0.0,0.0,0.0,0.0
D5,74345,-0.05473794666735779,0.023999594135004118,-0.0018411221957532627,-0.013502068627116249,0.0005045687365271531,-4.72655777892529e-05,-0.0,0.0,0.0,0.0
D1/D4-D2-D4c,74299,-0.004479103442383091,-0.006964253800337876,0.0085333571840981,-4.177093046074772e-05,-0.0009139182159632812,-0.0017783830783709006,-0.0,0.0,0.0,0.0
D1/D4/D6,74302,-0.007344719832249329,-0.01887468262294492,-0.0038748773789041317,1.7313311550001948e-05,-0.0066152658233495955,-0.0001141039008197611,-0.0,0.0,0.0,0.0
D1-D4-D4c-D1c-D2,74306,-0.0001404006430887682,-0.00684003642974979,0.00516115242345996,-7.758297918406935e-05,0.0054988597587872345,-0.00024200422165155137,-0.0,0.0,0.0,0.0
D1/D4-D1c,74311,0.010763962620325402,0.0011710476211300943,-0.006200246764157676,-7.39978700441647e-05,0.0022746811069855525,0.00043782380301277113,-0.0,0.0,0.0,0.0
D4,74322,-0.017555672270604592,0.009023839928929118,-0.003248955986646822,1.5832889848103623e-05,-0.003005466970964513,0.00032619697533190715,-0.0,0.0,0.0,0.0
D1-D4-D2-D4c-D4f,74336,-0.0061941733354116645,-0.010585139380784704,0.013885782618393397,-2.3864946904949044e-05,-0.0008168287836847272,0.001443870656754221,-0.0,0.0,0.0,0.0
D1bv,74395,0.1373544642334677,0.017219256491536446,-0.0009302985405407369,-1.8976085240792828e-06,-0.0004748368960524064,-2.827813032384259e-05,-0.0,0.0,0.0,0.0
D1/D6,74310,-0.003862603492230648,-0.03164659582487078,-0.009705913408661549,-2.9846314407775712e-05,0.0029941439827022285,5.070175322399577e-05,-0.0,0.0,0.0,0.0
proportion_explained,0,0.8633456877793237,0.10481037377331633,0.0156204370914126,0.012638758718848963,0.0033928576478490353,0.00019188498924929687,0.0,0.0,0.0,0.0
