sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
D5-D4-D9b-D4u,74375,0.4813728324901334,-0.3072480635936767,-0.0014829269901509865,0.144127797896333,-0.11542983162852888,0.0024584658598963286,-0.002013484819577577,-0.00021207882006106093,0.0,0.0
D1bv,74395,0.39548221578961745,0.6839285300324336,-0.08565703277891297,0.06187229597589959,-0.02011821162357283,0.0017099966029026329,-0.00015239874683560444,-0.0006200838820377957,0.0,0.0
D1/D4-D2-D4c,74299,-0.2751460760669023,-0.04471476885403082,-0.0027934123758563147,0.1064288412434065,0.03555117080184622,0.08393915900036117,0.024900930612136746,0.0008191126045579998,0.0,0.0
D1/D4/D6,74302,-0.25456397835614936,-0.029492571959373298,0.03929762199355951,-0.1490431233014456,-0.15893997746725527,0.020843851918073558,-0.0013694734621638267,0.0015083934845849085,0.0,0.0
D1-D4-D4c-D1c-D2,74306,-0.27840162198744944,-0.04417874647773696,0.024786053772118483,0.06903298942919908,0.03368130494745514,-0.0027390887853506385,-0.009951839831013195,-0.02474371776167183,0.0,0.0
D1/D6,74310,-0.3245600027546429,0.05788061653360841,-0.268715273814792,-0.21626098707009686,0.015754639874512946,-0.004238070500703476,-0.0003264800052559194,0.0008911112597048514,0.0,0.0
D1/D4-D1c,74311,-0.2735541287712348,-0.04250083438307146,-0.02705546199082206,0.0936085323196759,0.009665462917136913,-0.1388670069313833,0.008409300924441336,0.005704416935522588,0.0,0.0
D4,74322,0.1663315395123447,0.02048982795473645,0.6018010712879575,-0.11423270329526831,0.05290115946483213,-0.0060728080809454845,4.7260251373380503e-05,0.0022896942286800386,0.0,0.0
D1-D4-D2-D4c-D4f,74336,-0.28222850524735893,-0.04191381322755798,-0.039679919407770985,0.12048716966891351,0.05782691579629363,0.04344810906293081,-0.021088218356773422,0.014804645223166329,0.0,0.0
D5,74345,0.6452677253916417,-0.25225017602533156,-0.2405007196953307,-0.1160208128666172,0.08910736691728237,-0.0004826081457823547,0.0015444034336702644,-0.00044149327244429054,0.0,0.0
proportion_explained,0,0.48552935017446086,0.23644269020989264,0.1868081359448685,0.05910326718801485,0.02068620524172101,0.010645889703057876,0.00046068560775179367,0.00032377593023241627,0.0,0.0
