sample	R1	R2
NEC1	NEC1_S117_L001_R1_001.fastq.gz	NEC1_S117_L001_R2_001.fastq.gz
NEC2	NEC2_S124_L001_R1_001.fastq.gz	NEC2_S124_L001_R2_001.fastq.gz
NEC3	NEC3_S131_L001_R1_001.fastq.gz	NEC3_S131_L001_R2_001.fastq.gz
NEC6	NEC6_S129_L001_R1_001.fastq.gz	NEC6_S129_L001_R2_001.fastq.gz
NTC1	NTC1_S96_L001_R1_001.fastq.gz	NTC1_S96_L001_R2_001.fastq.gz
NTC2	NTC2_S136_L001_R1_001.fastq.gz	NTC2_S136_L001_R2_001.fastq.gz
NTC3	NTC3_S138_L001_R1_001.fastq.gz	NTC3_S138_L001_R2_001.fastq.gz
SH0001	SH0001_S1_L001_R1_001.fastq.gz	SH0001_S1_L001_R2_001.fastq.gz
SH0002	SH0002_S9_L001_R1_001.fastq.gz	SH0002_S9_L001_R2_001.fastq.gz
SH0003	SH0003_S17_L001_R1_001.fastq.gz	SH0003_S17_L001_R2_001.fastq.gz
SH0004	SH0004_S25_L001_R1_001.fastq.gz	SH0004_S25_L001_R2_001.fastq.gz
SH0005	SH0005_S33_L001_R1_001.fastq.gz	SH0005_S33_L001_R2_001.fastq.gz
SH0006	SH0006_S41_L001_R1_001.fastq.gz	SH0006_S41_L001_R2_001.fastq.gz
SH0007	SH0007_S49_L001_R1_001.fastq.gz	SH0007_S49_L001_R2_001.fastq.gz
SH0008	SH0008_S57_L001_R1_001.fastq.gz	SH0008_S57_L001_R2_001.fastq.gz
SH0009	SH0009_S65_L001_R1_001.fastq.gz	SH0009_S65_L001_R2_001.fastq.gz
SH0010	SH0010_S73_L001_R1_001.fastq.gz	SH0010_S73_L001_R2_001.fastq.gz
SH0011	SH0011_S81_L001_R1_001.fastq.gz	SH0011_S81_L001_R2_001.fastq.gz
SH0012	SH0012_S89_L001_R1_001.fastq.gz	SH0012_S89_L001_R2_001.fastq.gz
SH0013	SH0013_S2_L001_R1_001.fastq.gz	SH0013_S2_L001_R2_001.fastq.gz
SH0014	SH0014_S10_L001_R1_001.fastq.gz	SH0014_S10_L001_R2_001.fastq.gz
SH0015	SH0015_S143_L001_R1_001.fastq.gz	SH0015_S143_L001_R2_001.fastq.gz
SH0016	SH0016_S18_L001_R1_001.fastq.gz	SH0016_S18_L001_R2_001.fastq.gz
SH0017	SH0017_S26_L001_R1_001.fastq.gz	SH0017_S26_L001_R2_001.fastq.gz
SH0018	SH0018_S34_L001_R1_001.fastq.gz	SH0018_S34_L001_R2_001.fastq.gz
SH0019	SH0019_S42_L001_R1_001.fastq.gz	SH0019_S42_L001_R2_001.fastq.gz
SH0020	SH0020_S50_L001_R1_001.fastq.gz	SH0020_S50_L001_R2_001.fastq.gz
SH0021	SH0021_S58_L001_R1_001.fastq.gz	SH0021_S58_L001_R2_001.fastq.gz
SH0022	SH0022_S149_L001_R1_001.fastq.gz	SH0022_S149_L001_R2_001.fastq.gz
SH0023	SH0023_S155_L001_R1_001.fastq.gz	SH0023_S155_L001_R2_001.fastq.gz
SH0024	SH0024_S66_L001_R1_001.fastq.gz	SH0024_S66_L001_R2_001.fastq.gz
SH0025	SH0025_S74_L001_R1_001.fastq.gz	SH0025_S74_L001_R2_001.fastq.gz
SH0026	SH0026_S82_L001_R1_001.fastq.gz	SH0026_S82_L001_R2_001.fastq.gz
SH0027	SH0027_S90_L001_R1_001.fastq.gz	SH0027_S90_L001_R2_001.fastq.gz
SH0028	SH0028_S3_L001_R1_001.fastq.gz	SH0028_S3_L001_R2_001.fastq.gz
SH0029	SH0029_S161_L001_R1_001.fastq.gz	SH0029_S161_L001_R2_001.fastq.gz
SH0030	SH0030_S11_L001_R1_001.fastq.gz	SH0030_S11_L001_R2_001.fastq.gz
SH0031	SH0031_S19_L001_R1_001.fastq.gz	SH0031_S19_L001_R2_001.fastq.gz
SH0032	SH0032_S27_L001_R1_001.fastq.gz	SH0032_S27_L001_R2_001.fastq.gz
SH0033	SH0033_S35_L001_R1_001.fastq.gz	SH0033_S35_L001_R2_001.fastq.gz
SH0034	SH0034_S43_L001_R1_001.fastq.gz	SH0034_S43_L001_R2_001.fastq.gz
SH0035	SH0035_S51_L001_R1_001.fastq.gz	SH0035_S51_L001_R2_001.fastq.gz
SH0036	SH0036_S59_L001_R1_001.fastq.gz	SH0036_S59_L001_R2_001.fastq.gz
SH0037	SH0037_S67_L001_R1_001.fastq.gz	SH0037_S67_L001_R2_001.fastq.gz
