sample	R1	R2
SH0038	SH0038_S75_L001_R1_001.fastq.gz	SH0038_S75_L001_R2_001.fastq.gz
SH0039A	SH0039A_S167_L001_R1_001.fastq.gz	SH0039A_S167_L001_R2_001.fastq.gz
SH0039B	SH0039B_S83_L001_R1_001.fastq.gz	SH0039B_S83_L001_R2_001.fastq.gz
SH0040	SH0040_S91_L001_R1_001.fastq.gz	SH0040_S91_L001_R2_001.fastq.gz
SH0041	SH0041_S173_L001_R1_001.fastq.gz	SH0041_S173_L001_R2_001.fastq.gz
SH0042	SH0042_S4_L001_R1_001.fastq.gz	SH0042_S4_L001_R2_001.fastq.gz
SH0043	SH0043_S12_L001_R1_001.fastq.gz	SH0043_S12_L001_R2_001.fastq.gz
SH0044	SH0044_S20_L001_R1_001.fastq.gz	SH0044_S20_L001_R2_001.fastq.gz
SH0045	SH0045_S28_L001_R1_001.fastq.gz	SH0045_S28_L001_R2_001.fastq.gz
SH0046	SH0046_S102_L001_R1_001.fastq.gz	SH0046_S102_L001_R2_001.fastq.gz
SH0047	SH0047_S36_L001_R1_001.fastq.gz	SH0047_S36_L001_R2_001.fastq.gz
SH0048	SH0048_S44_L001_R1_001.fastq.gz	SH0048_S44_L001_R2_001.fastq.gz
SH0049	SH0049_S52_L001_R1_001.fastq.gz	SH0049_S52_L001_R2_001.fastq.gz
SH0050	SH0050_S60_L001_R1_001.fastq.gz	SH0050_S60_L001_R2_001.fastq.gz
SH0051	SH0051_S68_L001_R1_001.fastq.gz	SH0051_S68_L001_R2_001.fastq.gz
SH0052	SH0052_S109_L001_R1_001.fastq.gz	SH0052_S109_L001_R2_001.fastq.gz
SH0053	SH0053_S76_L001_R1_001.fastq.gz	SH0053_S76_L001_R2_001.fastq.gz
SH0054	SH0054_S116_L001_R1_001.fastq.gz	SH0054_S116_L001_R2_001.fastq.gz
SH0055	SH0055_S84_L001_R1_001.fastq.gz	SH0055_S84_L001_R2_001.fastq.gz
SH0056	SH0056_S92_L001_R1_001.fastq.gz	SH0056_S92_L001_R2_001.fastq.gz
SH0057	SH0057_S5_L001_R1_001.fastq.gz	SH0057_S5_L001_R2_001.fastq.gz
SH0058	SH0058_S13_L001_R1_001.fastq.gz	SH0058_S13_L001_R2_001.fastq.gz
SH0059	SH0059_S21_L001_R1_001.fastq.gz	SH0059_S21_L001_R2_001.fastq.gz
SH0060	SH0060_S29_L001_R1_001.fastq.gz	SH0060_S29_L001_R2_001.fastq.gz
SH0061	SH0061_S37_L001_R1_001.fastq.gz	SH0061_S37_L001_R2_001.fastq.gz
SH0062	SH0062_S123_L001_R1_001.fastq.gz	SH0062_S123_L001_R2_001.fastq.gz
SH0063	SH0063_S130_L001_R1_001.fastq.gz	SH0063_S130_L001_R2_001.fastq.gz
SH0064	SH0064_S45_L001_R1_001.fastq.gz	SH0064_S45_L001_R2_001.fastq.gz
SH0065	SH0065_S53_L001_R1_001.fastq.gz	SH0065_S53_L001_R2_001.fastq.gz
SH0066	SH0066_S137_L001_R1_001.fastq.gz	SH0066_S137_L001_R2_001.fastq.gz
SH0067	SH0067_S61_L001_R1_001.fastq.gz	SH0067_S61_L001_R2_001.fastq.gz
SH0068	SH0068_S69_L001_R1_001.fastq.gz	SH0068_S69_L001_R2_001.fastq.gz
SH0069	SH0069_S144_L001_R1_001.fastq.gz	SH0069_S144_L001_R2_001.fastq.gz
SH0070	SH0070_S77_L001_R1_001.fastq.gz	SH0070_S77_L001_R2_001.fastq.gz
SH0071	SH0071_S85_L001_R1_001.fastq.gz	SH0071_S85_L001_R2_001.fastq.gz
SH0072	SH0072_S93_L001_R1_001.fastq.gz	SH0072_S93_L001_R2_001.fastq.gz
SH0073	SH0073_S6_L001_R1_001.fastq.gz	SH0073_S6_L001_R2_001.fastq.gz
SH0074	SH0074_S14_L001_R1_001.fastq.gz	SH0074_S14_L001_R2_001.fastq.gz
SH0075	SH0075_S22_L001_R1_001.fastq.gz	SH0075_S22_L001_R2_001.fastq.gz
SH0076	SH0076_S30_L001_R1_001.fastq.gz	SH0076_S30_L001_R2_001.fastq.gz
SH0077	SH0077_S38_L001_R1_001.fastq.gz	SH0077_S38_L001_R2_001.fastq.gz
SH0078	SH0078_S46_L001_R1_001.fastq.gz	SH0078_S46_L001_R2_001.fastq.gz
SH0079	SH0079_S54_L001_R1_001.fastq.gz	SH0079_S54_L001_R2_001.fastq.gz
SH0080	SH0080_S62_L001_R1_001.fastq.gz	SH0080_S62_L001_R2_001.fastq.gz
SH0081	SH0081_S70_L001_R1_001.fastq.gz	SH0081_S70_L001_R2_001.fastq.gz
SH0082	SH0082_S78_L001_R1_001.fastq.gz	SH0082_S78_L001_R2_001.fastq.gz
SH0083	SH0083_S86_L001_R1_001.fastq.gz	SH0083_S86_L001_R2_001.fastq.gz
SH0084	SH0084_S150_L001_R1_001.fastq.gz	SH0084_S150_L001_R2_001.fastq.gz
SH0085	SH0085_S94_L001_R1_001.fastq.gz	SH0085_S94_L001_R2_001.fastq.gz
SH0086	SH0086_S7_L001_R1_001.fastq.gz	SH0086_S7_L001_R2_001.fastq.gz
SH0087	SH0087_S15_L001_R1_001.fastq.gz	SH0087_S15_L001_R2_001.fastq.gz
SH0088	SH0088_S23_L001_R1_001.fastq.gz	SH0088_S23_L001_R2_001.fastq.gz
SH0089	SH0089_S31_L001_R1_001.fastq.gz	SH0089_S31_L001_R2_001.fastq.gz
SH0090	SH0090_S39_L001_R1_001.fastq.gz	SH0090_S39_L001_R2_001.fastq.gz
SH0091	SH0091_S156_L001_R1_001.fastq.gz	SH0091_S156_L001_R2_001.fastq.gz
SH0092	SH0092_S47_L001_R1_001.fastq.gz	SH0092_S47_L001_R2_001.fastq.gz
SH0093	SH0093_S55_L001_R1_001.fastq.gz	SH0093_S55_L001_R2_001.fastq.gz
SH0094	SH0094_S63_L001_R1_001.fastq.gz	SH0094_S63_L001_R2_001.fastq.gz
SH0095	SH0095_S71_L001_R1_001.fastq.gz	SH0095_S71_L001_R2_001.fastq.gz
SH0096	SH0096_S79_L001_R1_001.fastq.gz	SH0096_S79_L001_R2_001.fastq.gz
SH0097	SH0097_S87_L001_R1_001.fastq.gz	SH0097_S87_L001_R2_001.fastq.gz
SH0098	SH0098_S95_L001_R1_001.fastq.gz	SH0098_S95_L001_R2_001.fastq.gz
SH0100	SH0100_S16_L001_R1_001.fastq.gz	SH0100_S16_L001_R2_001.fastq.gz
SH0101	SH0101_S24_L001_R1_001.fastq.gz	SH0101_S24_L001_R2_001.fastq.gz
SH0102	SH0102_S32_L001_R1_001.fastq.gz	SH0102_S32_L001_R2_001.fastq.gz
SH0103	SH0103_S40_L001_R1_001.fastq.gz	SH0103_S40_L001_R2_001.fastq.gz
SH0104	SH0104_S48_L001_R1_001.fastq.gz	SH0104_S48_L001_R2_001.fastq.gz
SH0105	SH0105_S162_L001_R1_001.fastq.gz	SH0105_S162_L001_R2_001.fastq.gz
SH0106	SH0106_S56_L001_R1_001.fastq.gz	SH0106_S56_L001_R2_001.fastq.gz
SH0107	SH0107_S64_L001_R1_001.fastq.gz	SH0107_S64_L001_R2_001.fastq.gz
SH0108	SH0108_S72_L001_R1_001.fastq.gz	SH0108_S72_L001_R2_001.fastq.gz
SH0109	SH0109_S80_L001_R1_001.fastq.gz	SH0109_S80_L001_R2_001.fastq.gz
SH0110	SH0110_S88_L001_R1_001.fastq.gz	SH0110_S88_L001_R2_001.fastq.gz
SH0111	SH0111_S168_L001_R1_001.fastq.gz	SH0111_S168_L001_R2_001.fastq.gz
SH0112	SH0112_S97_L001_R1_001.fastq.gz	SH0112_S97_L001_R2_001.fastq.gz
SH0113	SH0113_S104_L001_R1_001.fastq.gz	SH0113_S104_L001_R2_001.fastq.gz
SH0114	SH0114_S174_L001_R1_001.fastq.gz	SH0114_S174_L001_R2_001.fastq.gz
SH0115	SH0115_S111_L001_R1_001.fastq.gz	SH0115_S111_L001_R2_001.fastq.gz
SH0116	SH0116_S118_L001_R1_001.fastq.gz	SH0116_S118_L001_R2_001.fastq.gz
SH0117	SH0117_S125_L001_R1_001.fastq.gz	SH0117_S125_L001_R2_001.fastq.gz
SH0118	SH0118_S103_L001_R1_001.fastq.gz	SH0118_S103_L001_R2_001.fastq.gz
SH0119	SH0119_S132_L001_R1_001.fastq.gz	SH0119_S132_L001_R2_001.fastq.gz
SH0120	SH0120_S139_L001_R1_001.fastq.gz	SH0120_S139_L001_R2_001.fastq.gz
SH0121	SH0121_S145_L001_R1_001.fastq.gz	SH0121_S145_L001_R2_001.fastq.gz
SH0122	SH0122_S151_L001_R1_001.fastq.gz	SH0122_S151_L001_R2_001.fastq.gz
SH0123	SH0123_S157_L001_R1_001.fastq.gz	SH0123_S157_L001_R2_001.fastq.gz
SH0124	SH0124_S163_L001_R1_001.fastq.gz	SH0124_S163_L001_R2_001.fastq.gz
SH0125	SH0125_S169_L001_R1_001.fastq.gz	SH0125_S169_L001_R2_001.fastq.gz
SH0126	SH0126_S98_L001_R1_001.fastq.gz	SH0126_S98_L001_R2_001.fastq.gz
SH0127	SH0127_S105_L001_R1_001.fastq.gz	SH0127_S105_L001_R2_001.fastq.gz
SH0128	SH0128_S110_L001_R1_001.fastq.gz	SH0128_S110_L001_R2_001.fastq.gz
SH0129	SH0129_S112_L001_R1_001.fastq.gz	SH0129_S112_L001_R2_001.fastq.gz
SH0130	SH0130_S119_L001_R1_001.fastq.gz	SH0130_S119_L001_R2_001.fastq.gz
SH0131	SH0131_S126_L001_R1_001.fastq.gz	SH0131_S126_L001_R2_001.fastq.gz
SH0132	SH0132_S133_L001_R1_001.fastq.gz	SH0132_S133_L001_R2_001.fastq.gz
SH0133	SH0133_S140_L001_R1_001.fastq.gz	SH0133_S140_L001_R2_001.fastq.gz
SH0134	SH0134_S146_L001_R1_001.fastq.gz	SH0134_S146_L001_R2_001.fastq.gz
SH0135	SH0135_S152_L001_R1_001.fastq.gz	SH0135_S152_L001_R2_001.fastq.gz
SH0136	SH0136_S158_L001_R1_001.fastq.gz	SH0136_S158_L001_R2_001.fastq.gz
SH0137	SH0137_S164_L001_R1_001.fastq.gz	SH0137_S164_L001_R2_001.fastq.gz
SH0138	SH0138_S170_L001_R1_001.fastq.gz	SH0138_S170_L001_R2_001.fastq.gz
SH0139	SH0139_S99_L001_R1_001.fastq.gz	SH0139_S99_L001_R2_001.fastq.gz
SH0140	SH0140_S106_L001_R1_001.fastq.gz	SH0140_S106_L001_R2_001.fastq.gz
SH0141	SH0141_S113_L001_R1_001.fastq.gz	SH0141_S113_L001_R2_001.fastq.gz
SH0142	SH0142_S120_L001_R1_001.fastq.gz	SH0142_S120_L001_R2_001.fastq.gz
SH0143	SH0143_S127_L001_R1_001.fastq.gz	SH0143_S127_L001_R2_001.fastq.gz
SH0144	SH0144_S134_L001_R1_001.fastq.gz	SH0144_S134_L001_R2_001.fastq.gz
SH0145	SH0145_S141_L001_R1_001.fastq.gz	SH0145_S141_L001_R2_001.fastq.gz
SH0146	SH0146_S147_L001_R1_001.fastq.gz	SH0146_S147_L001_R2_001.fastq.gz
SH0147	SH0147_S153_L001_R1_001.fastq.gz	SH0147_S153_L001_R2_001.fastq.gz
SH0148	SH0148_S159_L001_R1_001.fastq.gz	SH0148_S159_L001_R2_001.fastq.gz
SH0149	SH0149_S165_L001_R1_001.fastq.gz	SH0149_S165_L001_R2_001.fastq.gz
SH0150	SH0150_S171_L001_R1_001.fastq.gz	SH0150_S171_L001_R2_001.fastq.gz
SH0151	SH0151_S100_L001_R1_001.fastq.gz	SH0151_S100_L001_R2_001.fastq.gz
SH0152	SH0152_S107_L001_R1_001.fastq.gz	SH0152_S107_L001_R2_001.fastq.gz
SH0153	SH0153_S114_L001_R1_001.fastq.gz	SH0153_S114_L001_R2_001.fastq.gz
SH0154	SH0154_S121_L001_R1_001.fastq.gz	SH0154_S121_L001_R2_001.fastq.gz
SH0155	SH0155_S128_L001_R1_001.fastq.gz	SH0155_S128_L001_R2_001.fastq.gz
SH0156	SH0156_S135_L001_R1_001.fastq.gz	SH0156_S135_L001_R2_001.fastq.gz
SH0157	SH0157_S142_L001_R1_001.fastq.gz	SH0157_S142_L001_R2_001.fastq.gz
SH0158	SH0158_S148_L001_R1_001.fastq.gz	SH0158_S148_L001_R2_001.fastq.gz
SH0159	SH0159_S154_L001_R1_001.fastq.gz	SH0159_S154_L001_R2_001.fastq.gz
SH0160	SH0160_S160_L001_R1_001.fastq.gz	SH0160_S160_L001_R2_001.fastq.gz
SH0161	SH0161_S166_L001_R1_001.fastq.gz	SH0161_S166_L001_R2_001.fastq.gz
SH0162	SH0162_S172_L001_R1_001.fastq.gz	SH0162_S172_L001_R2_001.fastq.gz
SH0163	SH0163_S101_L001_R1_001.fastq.gz	SH0163_S101_L001_R2_001.fastq.gz
SH0164	SH0164_S108_L001_R1_001.fastq.gz	SH0164_S108_L001_R2_001.fastq.gz
SH0165	SH0165_S115_L001_R1_001.fastq.gz	SH0165_S115_L001_R2_001.fastq.gz
SH0166	SH0166_S122_L001_R1_001.fastq.gz	SH0166_S122_L001_R2_001.fastq.gz
SH099	SH099_S8_L001_R1_001.fastq.gz	SH099_S8_L001_R2_001.fastq.gz
