sample_uid	sample_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth
109362	SH0097	26184	1484	28	1484	28	0	0	0	0	1484	5	0	0	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora		999.00000000	999.00000000	NoData	NoData
109355	SH0090	9467	486	11	482	10	0	0	4	1	482	5	0	0	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora		999.00000000	999.00000000	NoData	NoData
109354	SH0089	7101	392	11	389	10	0	0	3	1	389	5	0	0	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora		999.00000000	999.00000000	NoData	NoData
109350	SH0085	22283	1146	27	1136	25	0	0	10	2	1136	5	0	0	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	cervicornis	999.00000000	999.00000000	NoData	NoData
109347	SH0082	33831	1754	49	1533	31	0	0	221	18	1526	5	0	0	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	cervicornis	999.00000000	999.00000000	NoData	NoData
109346	SH0081	31807	1706	42	1690	38	0	0	16	4	1685	5	0	0	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	cervicornis	999.00000000	999.00000000	NoData	NoData
109363	SH0098	29708	1785	42	1782	41	0	0	3	1	1776	5	0	0	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora		999.00000000	999.00000000	NoData	NoData
109361	SH0096	30211	1895	47	1881	43	0	0	14	4	1873	5	0	0	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora		999.00000000	999.00000000	NoData	NoData
109360	SH0095	26464	1483	39	1479	38	0	0	4	1	1476	5	0	0	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora		999.00000000	999.00000000	NoData	NoData
109357	SH0092	30907	1883	44	1877	42	0	0	6	2	1877	6	0	0	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora		999.00000000	999.00000000	NoData	NoData
109343	SH0078	31413	1831	46	1828	45	0	0	3	1	1821	6	0	0	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	cervicornis	999.00000000	999.00000000	NoData	NoData
109352	SH0087	21840	1198	26	1198	26	0	0	0	0	1195	6	4	0	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	cervicornis	999.00000000	999.00000000	NoData	NoData
109366	SH0102	28084	1602	39	1583	33	0	0	19	6	1583	6	6	0	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora		999.00000000	999.00000000	NoData	NoData
109348	SH0083	25260	1443	40	1432	37	0	0	11	3	1432	6	9	0	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	cervicornis	999.00000000	999.00000000	NoData	NoData
109431	SH099	20032	1150	30	1150	30	0	0	0	0	1150	6	8	0	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora		999.00000000	999.00000000	NoData	NoData
109365	SH0101	17147	1026	25	1020	23	0	0	6	2	1017	6	0	0	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora		999.00000000	999.00000000	NoData	NoData
109358	SH0093	29172	1633	48	1618	44	0	0	15	4	1606	7	0	0	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora		999.00000000	999.00000000	NoData	NoData
109359	SH0094	30192	1597	44	1438	29	0	0	159	15	1428	9	61	0	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora		999.00000000	999.00000000	NoData	NoData
109345	SH0080	30526	1700	44	1688	42	0	0	12	2	1675	8	75	0	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	cervicornis	999.00000000	999.00000000	NoData	NoData
109349	SH0084	15057	762	23	753	21	0	0	9	2	753	8	34	0	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	cervicornis	999.00000000	999.00000000	NoData	NoData
109344	SH0079	78905	4410	135	4369	127	0	0	41	8	4314	10	220	0	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	cervicornis	999.00000000	999.00000000	NoData	NoData
109415	SH0151	16245	811	24	643	12	0	0	168	12	643	8	0	0	12	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Alcyonacea	Alcyoniidae	Sarcophyton	NoData	999.00000000	999.00000000	NoData	NoData
109396	SH0132	17369	1064	40	1060	39	0	0	4	1	1048	19	0	0	70	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Dendrophylliidae	Duncanopsammia	axifuga	999.00000000	999.00000000	NoData	NoData
109298	SH0034	31841	2441	82	2437	81	0	0	4	1	2379	14	0	0	360	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	muricata	999.00000000	999.00000000	NoData	NoData
109270	SH0006	20593	907	53	787	43	0	0	120	10	778	25	0	0	61	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	nana	999.00000000	999.00000000	NoData	NoData
109306	SH0041	18449	973	45	973	45	0	0	0	0	958	31	0	0	118	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	NoData	999.00000000	999.00000000	NoData	NoData
109271	SH0007	36106	1839	89	1774	81	0	0	65	8	1699	31	0	0	193	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	nasuta	999.00000000	999.00000000	NoData	NoData
109404	SH0140	20175	1173	74	1169	73	0	0	4	1	1136	44	0	0	133	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	yongei	999.00000000	999.00000000	NoData	NoData
109300	SH0036	28485	1576	86	1569	84	0	0	7	2	1522	39	0	0	174	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	valida	999.00000000	999.00000000	NoData	NoData
109266	SH0002	39153	1685	96	1520	83	0	0	165	13	1472	36	0	0	190	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	cerealis	999.00000000	999.00000000	NoData	NoData
