sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21
SH0019,109283,0.2579153041878679,-0.01161674143599414,0.10890065684596727,-0.11403641659159892,0.100374067296709,-0.13705162810776042,-0.006093637902359924,0.02260821066125843,0.01776430935525726,0.007986550559490718,-0.0064762153518637625,-0.00015610170891622123,0.012218049597995571,0.00021833294638867216,-0.002881245546038664,-0.0,0.0,0.0,0.0,0.0,0.0
SH0029,109293,-0.11652533986635483,-0.18188312360019931,-0.1986191676937067,0.2928035899180309,-0.022136424906423157,-0.07961110499340493,0.01362871098087909,-0.07879784427073984,-0.022614400605217105,0.007425721000542761,-0.022291513778458515,-0.015793495626105877,0.0049002362442902335,-0.0004703915088161808,0.0025387426120112183,-0.0,0.0,0.0,0.0,0.0,0.0
SH0065,109330,-0.014913363390545038,-0.12785496163282506,-0.1616679152442528,0.1893181029432428,-0.1564755309360627,0.07503199788094318,0.013544547212563584,0.07578869758522275,-0.021162055457396495,0.028519486300831298,0.021063883335519624,-0.015780488547816815,-0.001535692071865974,-0.00046447247870837346,-0.00014770858478259236,-0.0,0.0,0.0,0.0,0.0,0.0
SH0113,109377,0.25534543911970564,0.02347373687268645,0.022552760743538153,-0.0034559274563407986,0.010889238205025195,0.012732028066179837,-0.016207475454294056,-0.00939339744382603,-0.004463408306714503,0.010498677827906654,-0.003813695476308661,0.0024498653358166447,-0.015458958473236533,-0.01525507331610357,0.004055286707034881,-0.0,0.0,0.0,0.0,0.0,0.0
SH0116,109380,0.24771293732858105,0.021394502973595287,0.010244091399004424,0.01746148459925376,-0.013661370638717885,0.03782269995994161,-0.041871871838713645,-0.028404810047817957,0.00837566263348053,-0.0024589689262355225,-0.01455324079002801,-0.019805651841046056,0.004976090373302047,0.0009870159539836065,-0.017331179368401742,-0.0,0.0,0.0,0.0,0.0,0.0
SH0117,109381,0.23318167822036492,0.01968861373259334,-0.003953696832715918,0.039112143259877684,-0.04416717934050335,0.0803252230336124,-0.0645937640097064,0.003356553279121376,0.0325700507990551,-0.03272600475102318,0.021540603779165092,0.01939465462576999,0.00952515899299759,-0.0005835819769568276,-0.0008598186851411204,-0.0,0.0,0.0,0.0,0.0,0.0
SH0118,109382,0.25322101988041007,0.0265198730906536,0.02229298466459085,-0.009929408172809222,-0.0017499621994567542,0.005962587464471815,-0.02239500461796522,0.0074637916614021345,-0.007122361674935616,-0.0015795205838251855,0.013842437627153713,-0.023729367319650165,0.014894869641650979,0.015543457923875202,0.010118732077156157,-0.0,0.0,0.0,0.0,0.0,0.0
SH0119,109383,0.2500548021016174,0.03897473180919779,0.0304764281571612,-0.04111053067262676,0.01782944272889673,0.03358720493344507,-0.0050558202143376925,-0.026373621577511053,0.011902848088166433,-0.021567500963606587,-0.009128590677988598,0.008363258572403255,0.0073683349233650604,-0.008909412552423,0.008575393501313722,-0.0,0.0,0.0,0.0,0.0,0.0
SH0120,109384,0.2364160025843549,0.04271459101769633,0.017883032947175997,-0.038562056437397955,-0.07696725861246224,0.03512715587441171,-0.01805759139276627,-0.026915363940209963,-0.005166085485452273,-0.021873675294920666,-0.006201105482941191,-0.02334491135257405,-0.022762327634215776,0.0027568329514850616,0.002077024894025717,-0.0,0.0,0.0,0.0,0.0,0.0
SH0125,109389,0.252580755426828,0.03137207458451263,0.04804471961157656,-0.06806899913428105,-0.026709090998150515,-0.0007213644616119943,0.0984845472813134,0.02110760097606665,-0.00975779901938334,-0.00047069038167529695,0.01225560125173794,-0.010634687700715567,0.004032906480732683,-0.006592602672222218,-0.004499445472201776,-0.0,0.0,0.0,0.0,0.0,0.0
