sample,analysis_type_uid,PC1,PC2,PC3
A3-A3ah-A3ac-A3m-A3ae,73739,-0.07475547890758832,0.0,0.0
A3,73679,-0.05023210474451946,-0.0,0.0
A7bb,73756,0.1249875836521078,0.0,0.0
proportion_explained,0,1.0,0.0,0.0
