sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43
C3/C1-C3v-C1q-C1n-C1cq,74118,-0.08497766815675532,0.36286918731547224,0.24116891226999737,-0.009772517820182021,0.15786977565589538,-0.06359920405605811,-0.029931970447883486,-0.02923288536350569,-0.15998548428995538,1.3181837893054152e-17,-1.337949575761649e-16,-0.0765450066291569,-0.017030260273314227,0.0013184252062671527,0.022180650818219388,-0.015464964475445417,0.030848630065049634,-0.00500583294706154,-0.04266850253582899,-0.0010375943391600269,0.009680359856729107,0.0009133924594808407,-0.0008013642877819302,-0.001368828845020865,-0.015622395769469694,-0.0009526233018446435,-0.0009009481277941248,0.01030579227889844,-0.009274376295335406,-0.006580928195683636,-0.021503449320128303,0.0766562955437264,0.06023094772320058,-0.012575709406664163,0.008511157532396537,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C21,74000,0.5431882808561258,-0.08015488405241522,-0.2745878166819108,-0.01134900186094672,0.00017277220412194598,0.08937686255000574,0.011202470194110047,0.09722167784981715,-0.1185662917512598,-8.096540890954338e-17,-1.9164802857018966e-16,-0.05657869538213966,-0.004449712747009496,0.08784506000022684,0.029361966286928606,0.0065983300320533855,-0.07790991168561016,0.19679248093272916,-0.08095320365597852,-0.050171920841974714,0.06837458863615245,-0.012863455080126058,-0.09160646171335236,0.013624248308703445,-0.02585064210594528,0.01356304826937654,-0.05489413385281998,-0.0006542424438331791,-0.05450370915095448,0.0075278525068987025,0.03950239500098316,0.023665586442539917,-0.014154636023934568,0.010575729124859906,0.006979182403857063,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C21-C21u-C3-C21w-C21v,74131,0.4452454750458733,0.14020834823533576,-0.18742207418545223,0.04941460808147411,-0.05360471107473321,0.07851871411106182,0.017932858865247123,0.0175466899691119,-0.04364485707213893,-3.367516725097779e-17,7.19264425850678e-17,0.05316835130608963,0.007748864186973938,-0.043963438274853994,-0.030438470555817287,0.0013269860599865696,-0.018241366580204896,-0.06479941718968776,0.10274344597614722,0.045862281969073056,-0.05208478643037631,-0.0034259573911956933,0.08477901192419941,-0.007942517381900155,-0.15493104558242835,0.17918876169420817,-0.004352900526059064,-0.004130875578316966,-0.03198976892790321,-0.001538844392848668,0.007704632563130168,0.0039365426904032635,-0.0007058921010169494,-0.002560714711884742,-0.005982249337828689,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3/C3v/C1-C1q-C1n,73879,-0.138182296895981,0.34092067739277404,0.19609018888818305,-0.018198472437699557,0.14711198918587684,-0.05921048480291579,-0.0368877224798379,-0.03396823170413428,-0.19085417424528398,-1.977483499156966e-18,-1.464388569770821e-16,-0.05363776181237702,-0.01615904876699637,-0.015830003087073496,0.03818970643371198,0.0013638203441254028,-0.02926391326379664,-0.0055651831569477695,0.01846892805767508,-0.0003963641596249168,-0.004121506392452903,-0.005556116968831807,-0.013437276137908426,0.00043154264441614765,0.021997538295442633,0.005500057091997247,-0.026910391709242053,0.024556545909174995,-0.026520756895300927,0.003093196536542264,0.04664749557182942,-0.018502992222507758,0.04873400851399961,-0.022642030013495563,0.008470518032888149,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C21-C3-C21ag-C21af,74017,0.4577475044499858,0.1696086769793658,-0.20018655981282774,0.05172246845737183,-0.043065290555467706,0.08821866623400149,0.031270102363609414,0.03234296088179507,-0.04665636864600983,-2.1346195708306465e-18,4.360968628935929e-17,0.030372484094508358,0.004044560606079707,-0.031659702304030174,-0.010037153056951194,-0.007396741625640893,-0.04543449128968289,0.08139633727856865,0.023222017126318037,-0.019376910766887228,-0.0035006331526101675,0.005325707524124274,0.006383374599756634,0.0004879836390529109,0.07597162026972962,0.007014730102485854,0.05958749294331071,-0.008498007472826065,0.12457053433062856,-0.10169252704977283,0.04434380623016435,0.010415922371974022,0.0017437533962602171,-0.004047900604041789,-0.004430590818461852,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3/C21/C3av-C3at-C3b-C3dp,73890,0.35015339485364144,0.2719022539405141,-0.006349076358136979,0.021232360517928508,0.04049707580270606,-0.026562450803367593,-0.0031915316582708272,-0.0194362567450478,0.16807068971178274,5.2270749264282236e-17,-9.174520259892502e-17,-0.0426996287053363,-0.009444769607719066,0.002055241116739195,-0.003097086355030658,-0.01793312185872453,0.2647244723673147,-0.04555996967081723,-0.00474210168953512,-0.020036878589443034,0.05011247486581891,-0.016960898539400318,-0.03938664287539681,-0.003288736947268015,-0.008927861638641633,0.011145487998383425,-0.14854450707856076,0.025299014025438545,0.05310693239176117,-0.019721665715311833,-0.0021649916777100584,-0.0026233259817181223,-0.007455346470433088,0.0012498675882505494,0.00013773080257530862,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3/C1n/C3v/C1-C1q-C89-C3az-C1aa,73889,-0.057993460140002076,0.27999130996603616,0.2561164581880833,-0.0014771729527303602,0.11139220914618134,-0.05865151099760969,-0.04166373799937257,-0.06876956298332257,-0.3676561673053407,1.874212412441566e-17,-1.6772788220743896e-16,-0.038064328063664485,-0.019041542295863405,-0.09515941642889565,-0.02267968188656885,-0.024149100329821267,-0.07321025231724211,-0.008688032189965575,0.03860770201842329,-0.053868529672051066,0.01340372454872351,-0.005860570509440181,0.028613682923422323,0.008367734806531243,-0.008411799618011194,-0.002443099186395269,0.012228963194090578,0.007979212163047339,0.020037089158848255,-0.010925667736286015,-0.024204491018776912,-0.009826502260819443,-0.038989601001716584,0.01730125479190618,-0.006422569293282357,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3/C1-C1n-C3v-C1q-C3fh,74154,-0.11825092865218037,0.3617769761923705,0.1965662349072421,-0.016815138627909277,0.155009326124563,-0.05677576221403334,-0.03547110914282454,-0.017858839588635357,-0.12067598965365486,3.299327566943977e-17,-1.7743497842891497e-16,-0.07290455641228656,-0.01644124692717918,0.024862574717638863,0.03523555921386138,0.003484435212317845,0.07689850228653031,0.0066556973027333865,-0.04748706683405647,0.041414538310282904,-0.008645409610870543,0.006226254927749006,-0.0186110516470316,-0.006233196203186192,-0.010241554024912933,-0.001858035461154665,0.011852626925757725,-0.03569651197892379,-0.0023754400435002506,0.01510278032712905,0.014954551762862648,-0.05238893944594975,-0.06834624202191968,0.017071384958370597,-0.006613025152328416,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1/C42.2/C3-C1b,74155,-0.305768489766106,0.051417284760203255,-0.08176165221594199,0.2307772508504347,0.02817294313045958,0.047923851024005815,0.010679855894208267,-0.008937709192843521,0.07992464227841124,7.914343751459158e-17,5.0948381477932394e-17,-0.04000768181882526,-0.07900900244138127,-0.053701066319099586,-0.044915495375203326,-0.018807252509641884,0.0268504029264916,0.02546205143725324,0.0375544464365889,0.026033386790433363,-0.033305363696320416,0.005668970636277816,0.014584028988152739,-0.009037595304883244,0.04536276056397556,0.003971585227254779,0.002496381613972537,0.026554265649681066,-0.00785094192509668,-0.010286549084573802,-0.006806003300196602,-0.01433419670963068,0.02323804006968915,-0.0017867030612674078,-0.030010541864085374,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C21ai/C21,74028,0.5100735788097481,-0.1065916534049992,-0.2363206145554725,-0.02265852945338789,0.008274228643158799,0.05248965432689321,-0.004070744591130592,0.07430302905101462,-0.10817706902164573,-2.056555859585516e-17,-2.2504352249802707e-16,-0.06302428611926067,-0.004235707843879333,0.10464150140857895,0.03479531566943873,0.015563647317033042,-0.014207359908898815,-0.3443124043890955,-0.042755557326537526,-0.023161165676065826,-0.00038380697098666444,0.028142293544499288,-0.035157180239542875,0.003791994880977035,0.09960997828478259,0.004379996927165293,0.023347495240842772,0.003923439756126173,-0.0056135050442457195,0.012511845960010804,-0.0018156861514149697,0.0016059136139955227,-0.0011482229059103957,0.0032485569873838536,0.004240381018729498,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3fn,74288,0.15042570595887145,-0.27704685635463805,0.2288854165766079,-0.09125250561164505,0.02806423771608365,-0.13460335022003342,0.14407247503744663,0.21620471443918285,-0.04315238999577668,-0.15280301122998002,0.5567625823386333,0.1604895804843274,-0.017304252960367014,0.012846642690128689,-0.0035264866208757724,0.003849534727403492,0.049698215601002516,0.018761965416123936,0.00752144923709117,0.008649823586469577,-0.019711568830284788,0.0018434223181253684,0.006552135111175775,-0.002947374003172152,0.009929883307374187,0.00032554094055414133,0.004728168956193081,0.00694175367832385,-0.0023325248273592634,-0.0007390148890559332,-0.00019915889281433354,-0.00146499354536909,0.0018737709176000965,-0.0009444981096006183,0.00027528880633940263,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
